Series_Title,Released_Year,Genre,IMDB_Rating,Overview,No_of_Votes,Gross,Movie_Success,Average IMBD Rating by Gener,Unnamed: 9,sentiment_score,sentiment
Talvar,2015,"Crime, Drama, Mystery",8.2,An experienced investigator confronts several conflicting theories about the perpetrators of a violent double homicide.,31142,342370.0,Average,"Crime, Drama, Musical",8,-0.8591,Negative
Baahubali 2: The Conclusion,2017,"Action, Drama",8.2,"When Shiva, the son of Bahubali, learns about his heritage, he begins to look for answers. His story is juxtaposed with past events that unfolded in the Mahishmati Kingdom.",75348,20186659.0,Average,"Crime, Drama, Mystery",190.6,0.0,Neutral
Drishyam,2015,"Crime, Drama, Mystery",8.2,"Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime.",70367,739478.0,Average,"Crime, Drama, Romance",31.5,-0.1027,Negative
Queen,2013,"Adventure, Comedy, Drama",8.2,A Delhi girl from a traditional family sets out on a solo honeymoon after her marriage gets cancelled.,60701,1429534.0,Average,"Crime, Drama, Sci-Fi",8.3,-0.25,Negative
Mandariinid,2013,"Drama, War",8.2,"In 1992, war rages in Abkhazia, a breakaway region of Georgia. An Estonian man Ivo has decided to stay behind and harvest his crops of tangerines. In a bloody conflict at his door, a wounded man is left behind, and Ivo takes him in.",40382,144501.0,Average,"Crime, Drama, Thriller",198.4,-0.9042,Negative
Bhaag Milkha Bhaag,2013,"Biography, Drama, Sport",8.2,The truth behind the ascension of Milkha Singh who was scarred because of the India-Pakistan partition.,61137,1626289.0,Average,"Crime, Film-Noir, Mystery",7.9,0.3182,Positive
Udaan,2010,Drama,8.2,"Expelled from his school, a 16-year old boy returns home to his abusive and oppressive father.",42341,7461.0,Average,"Crime, Film-Noir, Thriller",7.9,-0.836,Negative
Paan Singh Tomar,2012,"Action, Biography, Crime",8.2,"The story of Paan Singh Tomar, an Indian athlete and seven-time national steeplechase champion who becomes one of the most feared dacoits in Chambal Valley after his retirement.",33237,39567.0,Average,"Crime, Mystery, Thriller",16.8,0.1045,Positive
El secreto de sus ojos,2009,"Drama, Mystery, Romance",8.2,A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.,193217,6391436.0,Average,"Crime, Thriller",23.9,0.891,Positive
Warrior,2011,"Action, Drama, Sport",8.2,"The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother.",435950,13657115.0,Average,Drama,597.4,-0.2263,Negative
Shutter Island,2010,"Mystery, Thriller",8.2,"In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane.",1129894,128012934.0,Hit,"Drama, Family",16.4,-0.8074,Negative
Up,2009,"Animation, Adventure, Comedy",8.2,"78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.",935507,293004164.0,Hit,"Drama, Family, Fantasy",7.7,0.6369,Positive
The Wolf of Wall Street,2013,"Biography, Crime, Drama",8.2,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",1187498,116900694.0,Hit,"Drama, Family, Musical",23.6,0.2023,Positive
Chak De! India,2007,"Drama, Family, Sport",8.2,Kabir Khan is the coach of the Indian Women's National Hockey Team and his dream is to make his all girls team emerge victorious against all odds.,74129,1113541.0,Average,"Drama, Family, Sport",16.5,0.25,Positive
There Will Be Blood,2007,Drama,8.2,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.",517359,40222514.0,Average,"Drama, Fantasy, Music",15.9,-0.7964,Negative
Pan's Labyrinth,2006,"Drama, Fantasy, War",8.2,"In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world.",618623,37634615.0,Average,"Drama, Fantasy, Mystery",7.6,-0.128,Negative
Toy Story 3,2010,"Animation, Adventure, Comedy",8.2,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.",757032,415004880.0,Hit,"Drama, Fantasy, Romance",31.5,0.3138,Positive
V for Vendetta,2005,"Action, Drama, Sci-Fi",8.2,"In a future British tyranny, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow it with the help of a young woman.",1032749,70511035.0,Average,"Drama, Fantasy, War",8.2,0.8176,Positive
Rang De Basanti,2006,"Comedy, Crime, Drama",8.2,"The story of six young Indians who assist an English woman to film a documentary on the freedom fighters from their past, and the events that lead them to relive the long-forgotten saga of freedom.",111937,2197331.0,Average,"Drama, Film-Noir",16,0.8481,Positive
Black,2005,Drama,8.2,"The cathartic tale of a young woman who can't see, hear or talk and the teacher who brings a ray of light into her dark world.",33354,733094.0,Average,"Drama, Film-Noir, Mystery",8,0.0,Neutral
Batman Begins,2005,"Action, Adventure",8.2,"After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption.",1308302,206852432.0,Hit,"Drama, Film-Noir, Romance",7.9,0.1779,Positive
"Swades: We, the People",2004,Drama,8.2,A successful Indian scientist returns to an Indian village to take his nanny to America with him and in the process rediscovers his roots.,83005,1223240.0,Average,"Drama, History",8,0.5859,Positive
Der Untergang,2004,"Biography, Drama, History",8.2,"Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.",331308,5509040.0,Average,"Drama, History, Music",7.7,0.0,Neutral
Hauru no ugoku shiro,2004,"Animation, Adventure, Family",8.2,"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.",333915,4711096.0,Average,"Drama, History, Mystery",7.8,-0.8402,Negative
A Beautiful Mind,2001,"Biography, Drama",8.2,"After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish.",848920,170742341.0,Hit,"Drama, History, Romance",16.2,0.6542,Positive
"Lock, Stock and Two Smoking Barrels",1998,"Action, Comedy, Crime",8.2,"A botched card game in London triggers four friends, thugs, weed-growers, hard gangsters, loan sharks and debt collectors to collide with each other in a series of unexpected events, all for the sake of weed, cash and two antique shotguns.",535216,3897569.0,Average,"Drama, History, Thriller",23.6,-0.0258,Neutral
L.A. Confidential,1997,"Crime, Drama, Mystery",8.2,"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice.",531967,64616940.0,Average,"Drama, History, War",30.9,-0.6908,Negative
Heat,1995,"Crime, Drama, Thriller",8.2,A group of professional bank robbers start to feel the heat from police when they unknowingly leave a clue at their latest heist.,577113,67436818.0,Average,"Drama, Horror",16.1,-0.0516,Negative
Casino,1995,"Crime, Drama",8.2,"A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive compete against each other over a gambling empire, and over a fast-living and fast-loving socialite.",466276,42438300.0,Average,"Drama, Horror, Mystery",7.7,-0.4588,Negative
Unforgiven,1992,"Drama, Western",8.2,"Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner Ned Logan and a young man, The ""Schofield Kid.""",375935,101157447.0,Hit,"Drama, Horror, Sci-Fi",15.4,0.3182,Positive
Indiana Jones and the Last Crusade,1989,"Action, Adventure",8.2,"In 1938, after his father Professor Henry Jones, Sr. goes missing while pursuing the Holy Grail, Professor Henry ""Indiana"" Jones, Jr. finds himself up against Adolf Hitler's Nazis again to stop them from obtaining its powers.",692366,197171806.0,Hit,"Drama, Horror, Thriller",23.4,-0.5267,Negative
Dom za vesanje,1988,"Comedy, Crime, Drama",8.2,"In this luminous tale set in the area around Sarajevo and in Italy, Perhan, an engaging young Romany (gypsy) with telekinetic powers, is seduced by the quick-cash world of petty crime, which threatens to destroy him and those he loves.",26402,280015.0,Average,"Drama, Music",32.2,-0.7783,Negative
Tonari no Totoro,1988,"Animation, Family, Fantasy",8.2,"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby.",291180,1105564.0,Average,"Drama, Music, Musical",23.4,0.34,Positive
Die Hard,1988,"Action, Thriller",8.2,An NYPD officer tries to save his wife and several others taken hostage by German terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.,793164,83008852.0,Average,"Drama, Music, Mystery",7.9,0.2023,Positive
Ran,1985,"Action, Drama, War",8.2,"In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him.",112505,4135750.0,Average,"Drama, Music, Romance",55.4,-0.2732,Negative
Raging Bull,1980,"Biography, Drama, Sport",8.2,"The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.",321860,23383987.0,Average,"Drama, Mystery",24.1,-0.8519,Negative
Stalker,1979,"Drama, Sci-Fi",8.2,A guide leads two men through an area known as the Zone to find a room that grants wishes.,116945,234723.0,Average,"Drama, Mystery, Romance",47.7,0.3612,Positive
Monty Python and the Holy Grail,1975,"Adventure, Comedy, Fantasy",8.2,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.",500875,1229197.0,Average,"Drama, Mystery, Sci-Fi",32.1,-0.3581,Negative
The Great Escape,1963,"Adventure, Drama, History",8.2,Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.,224730,12100000.0,Average,"Drama, Mystery, Thriller",63.7,-0.8779,Negative
Some Like It Hot,1959,"Comedy, Music, Romance",8.2,"After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.",243943,25000000.0,Average,"Drama, Mystery, War",16.7,-0.1406,Negative
Du rififi chez les hommes,1955,"Crime, Drama, Thriller",8.2,"Four men plan a technically perfect crime, but the human element intervenes...",28810,57226.0,Average,"Drama, Romance",245.8,0.0258,Neutral
Dial M for Murder,1954,"Crime, Thriller",8.2,A former tennis player tries to arrange his wife's murder after learning of her affair.,158335,12562.0,Average,"Drama, Romance, Sci-Fi",16.3,-0.6908,Negative
Rashômon,1950,"Crime, Drama, Mystery",8.2,"The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter.",152572,96568.0,Average,"Drama, Romance, Thriller",15.7,-0.9136,Negative
All About Eve,1950,Drama,8.2,A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.,120539,10177.0,Average,"Drama, Romance, War",32.1,0.5647,Positive
The Treasure of the Sierra Madre,1948,"Adventure, Drama, Western",8.2,Two Americans searching for work in Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.,114304,5014000.0,Average,"Drama, Sci-Fi",39.9,0.5719,Positive
The Gold Rush,1925,"Adventure, Comedy, Drama",8.2,A prospector goes to the Klondike in search of gold and finds it and more.,101053,5450000.0,Average,"Drama, Sci-Fi, Thriller",30.8,0.0,Neutral
Sherlock Jr.,1924,"Action, Comedy, Romance",8.2,"A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch.",41985,977375.0,Average,"Drama, Sport",47.4,-0.5719,Negative
Portrait de la jeune fille en feu,2019,"Drama, Romance",8.1,"On an isolated island in Brittany at the end of the eighteenth century, a female painter is obliged to paint a wedding portrait of a young woman.",63134,3759854.0,Average,"Drama, Thriller",70.9,-0.3182,Negative
Pink,2016,"Drama, Thriller",8.1,"When three young women are implicated in a crime, a retired lawyer steps forward to help them clear their names.",39216,1241223.0,Average,"Drama, Thriller, War",16,0.2023,Positive
Ah-ga-ssi,2016,"Drama, Romance, Thriller",8.1,"A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her.",113649,2006788.0,Average,"Drama, Thriller, Western",7.9,0.0,Neutral
